min_t	max_t	latest_value	n	category	sub_category	unit	scale
1998	2020	733123	23	Banking Sector-All Banks	Banking Sector- Interest Expenses	Rs	Millions
1998	2020	1159187	23	Banking Sector-All Banks	Banking Sector- Interest Income	Rs	Millions
1998	2020	4227716	23	Banking Sector-All Banks	Banking Sector- Investments	Rs	Millions
1998	2020	426065	23	Banking Sector-All Banks	Banking Sector- Net Interest Income	Rs	Millions
1998	2020	3.1	23	Banking Sector-All Banks	Banking Sector- Net Interest Income (NII) to Average Assets (Net Interest Margin)	Ratio	%
1998	2020	8817218	23	Banking Sector-All Banks	Banking Sector- Net Loans and Advances	Rs	Millions
1998	2020	216313	23	Banking Sector-All Banks	Banking Sector- Net Non-performing Advances	Rs	Millions
1998	2020	17.2	23	Banking Sector-All Banks	Banking Sector- Net Non-performing Advances (NPLs) to Capital Ratio	Ratio	%
1998	2020	2.4	23	Banking Sector-All Banks	Banking Sector- Net Non-performing Loans to Total Loans and Advances (Net Non-performing Advances (NPLs) Ratio)	Ratio	%
1998	2020	141773	23	Banking Sector-All Banks	Banking Sector- Non-interest Income	Rs	Millions
1998	2020	4.9	23	Banking Sector-All Banks	Banking Sector- Non-performing Loans to Total Loans and Advances (Gross Non-performing Advances (NPLs) Ratio)	Ratio	%
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks AMPARA	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks ANURADHAPURA	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks BADULLA	Unit	Unit
2008	2020	18	13	Banking Sector-All Banks	Banking Sector- Number of Banks BATTICOLOA	Unit	Unit
2008	2020	30	13	Banking Sector-All Banks	Banking Sector- Number of Banks COLOMBO	Unit	Unit
2008	2020	22	13	Banking Sector-All Banks	Banking Sector- Number of Banks GALLE	Unit	Unit
2008	2020	19	13	Banking Sector-All Banks	Banking Sector- Number of Banks GAMPAHA	Unit	Unit
2008	2020	16	13	Banking Sector-All Banks	Banking Sector- Number of Banks HAMBANTOTA	Unit	Unit
2008	2020	19	13	Banking Sector-All Banks	Banking Sector- Number of Banks JAFFNA	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks KALUTARA	Unit	Unit
2008	2020	21	13	Banking Sector-All Banks	Banking Sector- Number of Banks KANDY	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks KEGALLE	Unit	Unit
2008	2020	11	13	Banking Sector-All Banks	Banking Sector- Number of Banks KILINOCHCHI	Unit	Unit
2008	2020	18	13	Banking Sector-All Banks	Banking Sector- Number of Banks KURUNEGALA	Unit	Unit
2008	2020	11	13	Banking Sector-All Banks	Banking Sector- Number of Banks MANNER	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks MATALE	Unit	Unit
2008	2020	18	13	Banking Sector-All Banks	Banking Sector- Number of Banks MATARA	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks MONARAGALA	Unit	Unit
2008	2020	7	13	Banking Sector-All Banks	Banking Sector- Number of Banks MULATIVU	Unit	Unit
2008	2020	16	13	Banking Sector-All Banks	Banking Sector- Number of Banks NUWARA ELIYA	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks POLONNARUWA	Unit	Unit
2008	2020	18	13	Banking Sector-All Banks	Banking Sector- Number of Banks PUTTALAM	Unit	Unit
2008	2020	18	13	Banking Sector-All Banks	Banking Sector- Number of Banks RATNAPURA	Unit	Unit
2008	2020	16	13	Banking Sector-All Banks	Banking Sector- Number of Banks TRINCOMALEE	Unit	Unit
2008	2020	17	13	Banking Sector-All Banks	Banking Sector- Number of Banks VAVUNIYA	Unit	Unit
2008	2020	128	13	Banking Sector-All Banks	Banking Sector- Number of Branches AMPARA	Unit	Unit
2008	2020	146	13	Banking Sector-All Banks	Banking Sector- Number of Branches ANURADHAPURA	Unit	Unit
2008	2020	123	13	Banking Sector-All Banks	Banking Sector- Number of Branches BADULLA	Unit	Unit
2008	2020	95	13	Banking Sector-All Banks	Banking Sector- Number of Branches BATTICOLOA	Unit	Unit
2008	2020	715	13	Banking Sector-All Banks	Banking Sector- Number of Branches COLOMBO	Unit	Unit
2008	2020	172	13	Banking Sector-All Banks	Banking Sector- Number of Branches GALLE	Unit	Unit
2008	2020	332	13	Banking Sector-All Banks	Banking Sector- Number of Branches GAMPAHA	Unit	Unit
2008	2020	116	13	Banking Sector-All Banks	Banking Sector- Number of Branches HAMBANTOTA	Unit	Unit
2008	2020	149	13	Banking Sector-All Banks	Banking Sector- Number of Branches JAFFNA	Unit	Unit
2008	2020	165	13	Banking Sector-All Banks	Banking Sector- Number of Branches KALUTARA	Unit	Unit
2008	2020	233	13	Banking Sector-All Banks	Banking Sector- Number of Branches KANDY	Unit	Unit
2008	2020	125	13	Banking Sector-All Banks	Banking Sector- Number of Branches KEGALLE	Unit	Unit
2008	2020	22	13	Banking Sector-All Banks	Banking Sector- Number of Branches KILINOCHCHI	Unit	Unit
2008	2020	215	13	Banking Sector-All Banks	Banking Sector- Number of Branches KURUNEGALA	Unit	Unit
2008	2020	25	13	Banking Sector-All Banks	Banking Sector- Number of Branches MANNER	Unit	Unit
2008	2020	76	13	Banking Sector-All Banks	Banking Sector- Number of Branches MATALE	Unit	Unit
2008	2020	144	13	Banking Sector-All Banks	Banking Sector- Number of Branches MATARA	Unit	Unit
2008	2020	80	13	Banking Sector-All Banks	Banking Sector- Number of Branches MONARAGALA	Unit	Unit
2008	2020	24	13	Banking Sector-All Banks	Banking Sector- Number of Branches MULATIVU	Unit	Unit
2008	2020	87	13	Banking Sector-All Banks	Banking Sector- Number of Branches NUWARA ELIYA	Unit	Unit
2008	2020	74	13	Banking Sector-All Banks	Banking Sector- Number of Branches POLONNARUWA	Unit	Unit
2008	2020	128	13	Banking Sector-All Banks	Banking Sector- Number of Branches PUTTALAM	Unit	Unit
2008	2020	149	13	Banking Sector-All Banks	Banking Sector- Number of Branches RATNAPURA	Unit	Unit
2008	2020	64	13	Banking Sector-All Banks	Banking Sector- Number of Branches TRINCOMALEE	Unit	Unit
2008	2020	32	13	Banking Sector-All Banks	Banking Sector- Number of Branches VAVUNIYA	Unit	Unit
2008	2020	133	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets AMPARA	Unit	Unit
2008	2020	243	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets ANURADHAPURA	Unit	Unit
2008	2020	163	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets BADULLA	Unit	Unit
2008	2020	91	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets BATTICOLOA	Unit	Unit
2008	2020	316	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets COLOMBO	Unit	Unit
2008	2020	210	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets GALLE	Unit	Unit
2008	2020	254	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets GAMPAHA	Unit	Unit
2008	2020	120	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets HAMBANTOTA	Unit	Unit
2008	2020	346	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets JAFFNA	Unit	Unit
2008	2020	92	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets KALUTARA	Unit	Unit
2008	2020	241	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets KANDY	Unit	Unit
2008	2020	134	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets KEGALLE	Unit	Unit
2008	2020	9	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets KILINOCHCHI	Unit	Unit
2008	2020	352	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets KURUNEGALA	Unit	Unit
2008	2020	19	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets MANNER	Unit	Unit
2008	2020	94	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets MATALE	Unit	Unit
2008	2020	111	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets MATARA	Unit	Unit
2008	2020	119	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets MONARAGALA	Unit	Unit
2008	2020	21	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets MULATIVU	Unit	Unit
2008	2020	99	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets NUWARA ELIYA	Unit	Unit
2008	2020	133	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets POLONNARUWA	Unit	Unit
2008	2020	108	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets PUTTALAM	Unit	Unit
2008	2020	197	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets RATNAPURA	Unit	Unit
2008	2020	111	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets TRINCOMALEE	Unit	Unit
2008	2020	71	13	Banking Sector-All Banks	Banking Sector- Number of Other Banking Outlets VAVUNIYA	Unit	Unit
1998	2020	252159	23	Banking Sector-All Banks	Banking Sector- Operating Expenses (Non interest Expenses)	Rs	Millions
1998	2020	271872	23	Banking Sector-All Banks	Banking Sector- Other Deposits	Rs	Millions
1998	2020	135267	23	Banking Sector-All Banks	Banking Sector- Profit After Tax	Rs	Millions
1998	2020	188870	23	Banking Sector-All Banks	Banking Sector- Profit Before Tax	Rs	Millions
1998	2020	83503	23	Banking Sector-All Banks	Banking Sector- Provision for Bad and Doubtful Debts and Loan Write-offs (net)	Rs	Millions
1998	2020	1.0	23	Banking Sector-All Banks	Banking Sector- Return on Assets (ROA) – After tax	Ratio	%
1998	2020	1.4	23	Banking Sector-All Banks	Banking Sector- Return on Assets (ROA)– Before tax	Ratio	%
1998	2020	11.3	23	Banking Sector-All Banks	Banking Sector- Return on Equity (ROE) – After tax	Ratio	%
1998	2020	7665631	23	Banking Sector-All Banks	Banking Sector- Risk Weighted Assets	Rs	Millions
1998	2020	3153233	23	Banking Sector-All Banks	Banking Sector- Savings Deposits	Rs	Millions
1998	2020	51.7	23	Banking Sector-All Banks	Banking Sector- Specific Provision Coverage Ratio	Ratio	%
1998	2020	231749	23	Banking Sector-All Banks	Banking Sector- Specific Provision for Bad and Doubtful Advances	Rs	Millions
1998	2020	117117	23	Banking Sector-All Banks	Banking Sector- Staff Cost	Rs	Millions
1998	2020	46.4	23	Banking Sector-All Banks	Banking Sector- Staff Cost to Operating Expenses	Ratio	%
1998	2020	37.3	23	Banking Sector-All Banks	Banking Sector- Statutory Liquid Asset Ratio (SLAR) – Domestic Banking Unit (DBU)	Ratio	%
1998	2020	7022132	23	Banking Sector-All Banks	Banking Sector- Time Deposits	Rs	Millions
1998	2020	14666264	23	Banking Sector-All Banks	Banking Sector- Total Assets	Rs	Millions
1998	2020	16.5	23	Banking Sector-All Banks	Banking Sector- Total Capital Adequacy Ratio (CAR)	Ratio	%
2008	2020	6176	13	Banking Sector-All Banks	Banking Sector- Total Number of ATMs	Unit	Unit
2008	2020	30	13	Banking Sector-All Banks	Banking Sector- Total Number of Banks	Unit	Unit
2008	2020	3619	13	Banking Sector-All Banks	Banking Sector- Total Number of Branches	Unit	Unit
2008	2020	3787	13	Banking Sector-All Banks	Banking Sector- Total Number of Other Banking Outlets	Unit	Unit
1998	2020	1586767	23	Banking Sector-Licensed Commercial Banks	Licensed Commercial Banks- Borrowings	Rs	Millions
1998	2020	94	23	Banking Sector-Licensed Commercial Banks	Licensed Commercial Banks- Borrowings - Market Share	Ratio	%
