sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
GDP - Exp. at Current MP (2002 Series) - External Demand - Net External Demand											-836491.48	-826552.96	-1035593.0	-952265.0	-465584.0	-313926.5	-603649.0	-371343.6	-323376.3	-219038.7	-184436.0	-109881.0	-106481.0																																						
GDP - Exp. at Current MP (2002 Series) - GDCF - Changes in Stocks											152724.1	23566.15	128448.0	186968.0	93497.71	34009.02	99937.63	115632.03	91329.96	84755.59	54693.49	36122.32	40000.0																																						
GDP - Exp. at Current MP (2002 Series) - GDCF - Changes in Stocks - Govt.											35126.52	5478.69	29013.12	39059.68	20853.49	9152.86	23530.52	22298.58	13237.35	13948.91	5923.48	4578.17	4813.45																																						
GDP - Exp. at Current MP (2002 Series) - GDCF - Changes in Stocks - Private											117597.59	18087.47	99434.88	147908.32	72644.21	24856.15	76407.11	93333.45	78092.6	70806.69	48770.01	31544.14	35186.55																																						
GDP - Exp. at Current MP (2002 Series) - GDCF - Gross Domestic Fixed Capital Formation											2752263.0	2536648.0	2189805.0	1772515.0	1452002.0	1147440.0	1115310.0	884688.0	730910.0	573263.1	473322.8	365194.0	328405.51																																						
GDP - Exp. at Current MP (2002 Series) - GDCF - Gross Domestic Fixed Capital Formation - Government											633020.0	589723.0	494621.0	370298.0	323850.87	308811.0	262602.0	170604.0	105938.0	94346.5	51262.4	46285.0	39519.1																																						
GDP - Exp. at Current MP (2002 Series) - GDCF - Gross Domestic Fixed Capital Formation - Private											2119243.0	1946925.0	1695184.0	1402217.0	1128151.13	838629.0	852708.0	714084.0	624972.0	478916.6	422060.4	318909.0	288886.41																																						
GDP - Exp. at Current MP (2002 Series) - Gross Domestic Capital Formation											2904987.1	2560214.15	2318253.0	1959483.0	1545499.71	1181449.02	1215247.63	1000320.03	822239.96	658018.69	528016.29	401316.32	368405.51																																						
GDP - Exp. at Current MP (2002 Series) - Total Demand											9784672.42	8674229.79	7578554.0	6543313.0	5604103.51	4835292.74	4410682.4	3578688.43	2938680.0	2452782.0	2090841.49	1822468.32	1636037.0																																						
Government Savings-at Current Prices (2002 Series)											-127691.62	-67733.0	-79563.0	-57044.0	-119815.0	-179931.0	-88450.0	-57707.0	-70128.0	-63603.0	-78205.0	-58176.0	-69002.0																																						
National Savings Investment Gap-at Current Prices (2002 Series)											-263427.57	-323960.69	-501868.77	-511089.74	-121475.2	-33143.7	-430969.9	-165391.6	-165938.46	-74545.69	-68496.29	-10067.32	-25542.51																																						
National Savings-at Current Prices (2002 Series)											2641559.53	2236253.46	1816384.23	1448393.26	1424024.51	1148305.32	784277.73	834928.43	656301.5	583473.0	459520.0	391249.0	342863.0																																						
Private Savings-at Current Prices (2002 Series)											2196187.24	1801394.19	1362223.26	1064261.58	1199730.71	1047453.52	700048.63	686683.43	568992.0	502584.0	421785.0	349610.0	330927.0																																						
