sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Licensed Commercial Banks- Efficiency (Operating Cost) Ratio					51.8	51.8	48.5	45.2	49.0	51.1	51.6	52.6	49.3	54.4	50.7	59.1	56.1	56.7	58.6	63.5	68.4	71.2	77.3	82.0	84.7	104.5	76.6																																		
Licensed Commercial Banks- Foreign Exchange Income (net)					31102	26309	47356	23091	25551	27180	19036	17336	26827	15065	11922	12056	13843	9206	9401	5757	6941	4599	4071	5288	3903	3617	3935																																		
Licensed Commercial Banks- Gross Loans and Advances					8289516	7362383	6980883	5791214	5007522	4258330	3453875	3079441	2830682	2329119	1764189	1406979	1456603	1366454	1151160	901463	708990	579784	524482	511281	443099	363760	313796																																		
Licensed Commercial Banks- Gross Loans and Advances - Market Share					91	91	91	90	90	90	89	90	90	90	89	88	89.1	89.1	89.3	89.9	86.9	85.9	86.5	86.2	84.6	83.5	84.2																																		
Licensed Commercial Banks- Gross Non-performing Advances					392849	339547	229222	133310	118313	123371	123527	158897	96248	80862	90313	115895	87395	67775	63251	61765	63874	72289	76104	78245	60187	57227	47831																																		
Licensed Commercial Banks- Interest Expenses					615805	658448	595904	525671	373888	260807	270247	321141	244446	153079	139893	184766	183570	143502	84777	57848	40955	41786	49376	60058	43357	36684	32874																																		
Licensed Commercial Banks- Interest Income					984242	1036497	948171	826393	637558	486794	460733	499523	418678	293177	267386	299044	286560	231778	156200	111268	83533	80292	80818	85567	67891	56006	54176																																		
Licensed Commercial Banks- Investments					3382534	2395947	2154370	2008038	1735286	1813136	1393978	1223967	869033	717222	763758	652837	454041	348510	297774	261414	234259	229587	175451	123280	109807	83943	76287																																		
Licensed Commercial Banks- Net Interest Income					368437	378049	352267	300722	263670	225988	190486	178382	174232	140098	127493	114277	102989	88276	71423	53421	42578	38506	31442	25509	24534	19322	21302																																		
Licensed Commercial Banks- Net Interest Income (NII) to Average Assets (Net Interest Margin)					3.1	3.6	3.7	3.5	3.6	3.5	3.6	3.7	4.3	4.3	4.7	4.8	4.7	4.5	4.4	4.1	4.0	4.2	3.8	3.4	3.8	3.6	4.1																																		
Licensed Commercial Banks- Net Loans and Advances					8035354	7179064	6840910	5687493	4938331	4190662	3394479	3022887	2786887	2288122	1720518	1351988	1409914	1324734	1108508	856109	664328	537319	486138	476519	410854	334110	291593																																		
Licensed Commercial Banks- Net Non-performing Advances					178158	190967	123979	59431	49123	55704	64131	102343	52454	39865	46642	60904	40706	26055	20599	17263	20253	29824	37760	43483	27941	27578	25628																																		
Licensed Commercial Banks- Net Non-performing Advances (NPLs) to Capital Ratio					15.5	18.3	13.2	7.5	7.6	9.7	13.1	24.4	10.9	9.9	14.6	25.3	16.7	11.9	13.0	16.5	29.8	52.3	93.7	134.7	94.6	96.4	76.0																																		
Licensed Commercial Banks- Net Non-performing Loans to Total Loans and Advances (Net Non-performing Advances (NPLs) Ratio)					2.2	2.6	1.8	1.0	1.0	1.3	1.9	3.4	1.9	1.7	2.7	4.5	2.9	2.0	1.9	2.0	3.0	5.5	7.8	9.1	6.8	8.3	8.8																																		
Licensed Commercial Banks- Non-interest Income					135059	126866	141150	112996	97532	91697	85969	76979	71715	53659	51756	49333	46463	36226	31341	28010	27441	24562	17252	16710	14183	12037	12982																																		
Licensed Commercial Banks- Non-performing Loans to Total Loans and Advances (Gross Non-performing Advances (NPLs) Ratio)					4.7	4.6	3.3	2.3	2.4	2.9	3.6	5.2	3.4	3.5	5.1	8.2	6.0	5.0	5.5	6.9	9.0	12.5	14.5	15.3	13.6	15.7	15.2																																		
Licensed Commercial Banks- Number of Banks AMPARA					12	12	12	12	12	12	12	12	12	11	9	8	6																																												
Licensed Commercial Banks- Number of Banks ANURADHAPURA					11	11	11	11	12	12	12	12	11	11	10	10	10																																												
Licensed Commercial Banks- Number of Banks BADULLA					12	12	12	12	13	13	13	13	12	11	10	10	10																																												
Licensed Commercial Banks- Number of Banks BATTICOLOA					13	13	13	13	13	13	13	13	13	13	10	7	6																																												
Licensed Commercial Banks- Number of Banks COLOMBO					24	26	26	25	25	25	25	24	24	24	22	22	22																																												
Licensed Commercial Banks- Number of Banks GALLE					17	17	17	17	15	14	13	12	12	12	11	11	11																																												
Licensed Commercial Banks- Number of Banks GAMPAHA					14	14	14	14	13	13	14	14	13	13	13	13	13																																												
Licensed Commercial Banks- Number of Banks HAMBANTOTA					11	11	11	11	12	12	12	12	10	9	8	8	7																																												
Licensed Commercial Banks- Number of Banks JAFFNA					14	14	15	15	14	13	13	13	13	13	12	7	5																																												
Licensed Commercial Banks- Number of Banks KALUTARA					12	12	11	11	12	12	12	12	12	11	11	11	10																																												
Licensed Commercial Banks- Number of Banks KANDY					16	16	17	17	16	15	15	15	15	15	14	14	13																																												
Licensed Commercial Banks- Number of Banks KEGALLE					12	12	12	12	12	12	11	10	10	10	10	10	9																																												
Licensed Commercial Banks- Number of Banks KILINOCHCHI					8	8	8	8	8	8	8	8	8	7	6	2	2																																												
Licensed Commercial Banks- Number of Banks KURUNEGALA					13	13	13	13	15	14	14	14	14	14	13	13	13																																												
Licensed Commercial Banks- Number of Banks MANNER					7	7	7	7	6	6	6	6	6	6	6	5	3																																												
Licensed Commercial Banks- Number of Banks MATALE					12	11	11	11	12	12	10	10	9	9	9	8	8																																												
Licensed Commercial Banks- Number of Banks MATARA					12	12	12	12	13	12	12	12	12	12	12	12	12																																												
Licensed Commercial Banks- Number of Banks MONARAGALA					12	12	12	12	12	11	10	9	8	8	8	7	7																																												
Licensed Commercial Banks- Number of Banks MULATIVU					6	6	6	6	6	6	6	6	6	5	2	2	2																																												
Licensed Commercial Banks- Number of Banks NUWARA ELIYA					11	11	11	11	10	9	9	9	8	8	8	8	7																																												
Licensed Commercial Banks- Number of Banks POLONNARUWA					12	12	12	12	11	11	11	11	10	9	8	8	8																																												
Licensed Commercial Banks- Number of Banks PUTTALAM					13	13	13	12	13	13	13	13	12	12	11	11	10																																												
Licensed Commercial Banks- Number of Banks RATNAPURA					13	13	13	12	13	13	12	12	11	11	10	10	10																																												
Licensed Commercial Banks- Number of Banks TRINCOMALEE					12	12	12	12	12	12	10	10	9	8	8	7	6																																												
Licensed Commercial Banks- Number of Banks VAVUNIYA					12	12	12	12	11	10	10	10	10	10	9	7	6																																												
Licensed Commercial Banks- Number of Branches AMPARA					100	100	100	97	92	89	89	89	84	79	65	53	47																																												
Licensed Commercial Banks- Number of Branches ANURADHAPURA					109	109	106	106	108	107	105	99	94	88	81	76	72																																												
Licensed Commercial Banks- Number of Branches BADULLA					97	95	95	95	94	94	93	92	89	85	82	77	77																																												
Licensed Commercial Banks- Number of Branches BATTICOLOA					75	74	74	74	73	72	72	72	70	67	53	42	29																																												
Licensed Commercial Banks- Number of Branches COLOMBO					647	648	638	634	722	704	695	671	663	650	614	594	575																																												
Licensed Commercial Banks- Number of Branches GALLE					131	130	130	128	137	133	131	123	118	115	105	97	92																																												
Licensed Commercial Banks- Number of Branches GAMPAHA					280	280	277	275	275	271	272	262	258	252	238	229	224																																												
Licensed Commercial Banks- Number of Branches HAMBANTOTA					81	81	80	80	78	78	78	74	67	63	57	53	48																																												
Licensed Commercial Banks- Number of Branches JAFFNA					128	128	127	128	119	115	113	112	108	95	77	61	45																																												
Licensed Commercial Banks- Number of Branches KALUTARA					126	126	124	123	129	128	128	123	118	114	102	94	91																																												
Licensed Commercial Banks- Number of Branches KANDY					190	190	188	186	182	177	174	167	163	154	140	134	126																																												
Licensed Commercial Banks- Number of Branches KEGALLE					90	88	88	88	94	92	90	87	87	84	79	74	71																																												
Licensed Commercial Banks- Number of Branches KILINOCHCHI					19	19	19	19	16	15	15	15	15	13	7	3	3																																												
Licensed Commercial Banks- Number of Branches KURUNEGALA					163	161	160	156	152	151	150	142	139	136	126	119	118																																												
Licensed Commercial Banks- Number of Branches MANNER					19	19	19	19	16	16	16	16	16	16	13	12	7																																												
Licensed Commercial Banks- Number of Branches MATALE					59	58	56	56	68	68	67	66	64	59	56	52	50																																												
Licensed Commercial Banks- Number of Branches MATARA					104	104	104	103	107	104	102	98	95	89	81	79	72																																												
Licensed Commercial Banks- Number of Branches MONARAGALA					58	58	56	56	54	54	53	51	48	46	44	38	37																																												
Licensed Commercial Banks- Number of Branches MULATIVU					22	22	22	22	19	19	19	19	18	14	4	4	4																																												
Licensed Commercial Banks- Number of Branches NUWARA ELIYA					68	68	68	68	75	74	73	72	71	68	65	64	60																																												
Licensed Commercial Banks- Number of Branches POLONNARUWA					55	54	53	53	56	51	51	51	50	46	41	36	33																																												
Licensed Commercial Banks- Number of Branches PUTTALAM					102	102	100	98	110	107	105	103	101	94	85	75	70																																												
Licensed Commercial Banks- Number of Branches RATNAPURA					114	114	113	112	115	113	111	108	105	101	95	86	82																																												
Licensed Commercial Banks- Number of Branches TRINCOMALEE					54	54	54	54	53	53	53	51	50	47	35	32	24																																												
Licensed Commercial Banks- Number of Branches VAVUNIYA					25	25	25	25	30	30	29	29	28	26	20	17	7																																												
Licensed Commercial Banks- Number of Other Banking Outlets AMPARA					133	133	147	147	147	147	147	146	146	145	145	145	137																																												
Licensed Commercial Banks- Number of Other Banking Outlets ANURADHAPURA					243	243	188	188	188	188	188	188	188	186	186	186	171																																												
Licensed Commercial Banks- Number of Other Banking Outlets BADULLA					163	163	138	138	138	138	138	138	138	137	137	137	128																																												
Licensed Commercial Banks- Number of Other Banking Outlets BATTICOLOA					91	91	52	52	52	52	52	48	43	43	43	43	43																																												
Licensed Commercial Banks- Number of Other Banking Outlets COLOMBO					316	316	265	265	265	265	265	265	265	268	268	269	254																																												
Licensed Commercial Banks- Number of Other Banking Outlets GALLE					210	210	202	202	202	202	202	202	202	185	185	185	173																																												
Licensed Commercial Banks- Number of Other Banking Outlets GAMPAHA					254	254	209	209	209	209	209	209	209	206	204	204	204																																												
Licensed Commercial Banks- Number of Other Banking Outlets HAMBANTOTA					120	119	98	98	98	98	98	98	98	98	98	98	98																																												
Licensed Commercial Banks- Number of Other Banking Outlets JAFFNA					346	344	141	141	141	141	141	141	141	141	141	141	131																																												
Licensed Commercial Banks- Number of Other Banking Outlets KALUTARA					92	92	80	80	80	80	81	81	81	81	81	81	81																																												
Licensed Commercial Banks- Number of Other Banking Outlets KANDY					241	241	207	207	207	207	207	206	206	190	190	190	178																																												
Licensed Commercial Banks- Number of Other Banking Outlets KEGALLE					134	134	122	122	122	122	122	122	122	122	122	122	112																																												
Licensed Commercial Banks- Number of Other Banking Outlets KILINOCHCHI					9	9	10	10	10	10	10	10	10	10	10	10	10																																												
Licensed Commercial Banks- Number of Other Banking Outlets KURUNEGALA					352	352	181	181	181	181	181	181	181	181	181	181	168																																												
Licensed Commercial Banks- Number of Other Banking Outlets MANNER					19	19	15	15	15	15	15	15	15	15	15	15	15																																												
Licensed Commercial Banks- Number of Other Banking Outlets MATALE					94	94	114	114	114	114	114	114	114	99	99	99	99																																												
Licensed Commercial Banks- Number of Other Banking Outlets MATARA					111	111	121	121	121	121	121	121	121	120	120	120	120																																												
Licensed Commercial Banks- Number of Other Banking Outlets MONARAGALA					119	119	70	70	70	70	70	70	70	70	70	70	70																																												
Licensed Commercial Banks- Number of Other Banking Outlets MULATIVU					21	21	7	7	7	7	7	7	7	7	7	7	7																																												
Licensed Commercial Banks- Number of Other Banking Outlets NUWARA ELIYA					99	99	96	96	96	96	96	95	95	83	82	82	82																																												
Licensed Commercial Banks- Number of Other Banking Outlets POLONNARUWA					133	132	90	90	90	90	90	90	90	90	90	90	90																																												
Licensed Commercial Banks- Number of Other Banking Outlets PUTTALAM					108	108	83	83	83	83	83	83	83	83	83	83	83																																												
Licensed Commercial Banks- Number of Other Banking Outlets RATNAPURA					197	197	148	148	148	148	148	148	148	148	147	147	147																																												
Licensed Commercial Banks- Number of Other Banking Outlets TRINCOMALEE					111	111	60	60	60	60	60	60	57	57	57	57	57																																												
Licensed Commercial Banks- Number of Other Banking Outlets VAVUNIYA					71	71	26	26	26	26	26	26	26	26	26	26	26																																												
Licensed Commercial Banks- Operating Expenses (Non interest Expenses)					220745	233077	222680	180462	174254	157137	140027	126293	118334	104436	94418	85694	79561	67454	59891	46930	41117	36807	31785	30385	27382	22031	21557																																		
Licensed Commercial Banks- Other Deposits					258602	185988	203226	163488	141630	142986	133330	111179	95675	94832	78786	71586	67484	73209	59442	38261	37775	35058	45456	39705	31830	28298	28779																																		
Licensed Commercial Banks- Profit After Tax					119937	104774	119527	125507	104371	85608	76589	68419	73539	55075	45183	20833	25174	21796	18961	15241	11433	10279	7664	4795	3257	-2907	4704																																		
Licensed Commercial Banks- Profit Before Tax					166063	159495	183004	175454	147519	122739	109861	96054	104018	78643	69591	40751	44373	37584	30302	22463	15323	12539	9232	6478	5026	-971	6790																																		
Licensed Commercial Banks- Provision for Bad and Doubtful Debts and Loan Write-offs (net)					79426	56002	38629	18683	19371	24736	20532	24878	13692	4628	1073	25150	15251	10727	8134	7337	9683	11321	7948	6164	5874	9964	5271																																		
Licensed Commercial Banks- Return on Assets (ROA) – After tax					1.0	1.0	1.2	1.5	1.4	1.3	1.4	1.4	1.8	1.7	1.6	0.9	1.2	1.1	1.2	1.2	1.1	1.1	0.9	0.6	0.5	-0.5	0.9																																		
Licensed Commercial Banks- Return on Assets (ROA)– Before tax					1.4	1.5	1.9	2.1	2.0	1.9	2.0	2.0	2.5	2.4	2.5	1.7	2.0	1.9	1.9	1.7	1.4	1.4	1.1	0.8	0.7	-0.2	1.2																																		
Licensed Commercial Banks- Return on Equity (ROE) – After tax					10.9	10.6	13.7	17.4	17.2	15.7	16.8	17.3	21.7	20.3	20.8	11.1	14.8	15.0	16.2	16.8	18.3	21.1	20.5	15.5	11.2	-9.3	13.9																																		
Licensed Commercial Banks- Risk Weighted Assets					7058635	6625559	6408989	5274709	4665778	3969325	3152442	2659643	2335851	2022358	1612687	1359096	1426645	1214846	1036611	789061	631895	529910	392475	363238	363374	327451	301426																																		
Licensed Commercial Banks- Savings Deposits					2788808	2055438	1909489	1779045	1627851	1518521	1282186	974164	874131	849820	745809	611260	497727	485931	458998	440573	383433	321904	276619	240080	213338	188038	157222																																		
Licensed Commercial Banks- Specific Provision Coverage Ratio					54.6	43.8	45.9	55.4	58.5	54.8	48.1	35.6	45.5	50.7	48.4	47.4	53.4	61.6	67.4	72.1	68.3	58.7	50.4	44.4	53.6	51.8	46.4																																		
Licensed Commercial Banks- Specific Provision for Bad and Doubtful Advances					214690	148580	105243	73878	69190	67667	59396	56554	43794	40998	43671	54990	46689	41720	42652	44502	43622	42465	38344	34762	32245	29650	22203																																		
Licensed Commercial Banks- Staff Cost					99837	100497	95045	81938	76866	70099	60097	55269	53106	45157	42165	39041	34578	28946	25541	20864	19135	17950	14943	13987	13425	11129	9870																																		
Licensed Commercial Banks- Staff Cost to Operating Expenses					45.2	43.1	42.7	45.4	44.1	44.6	42.9	43.8	44.9	43.2	44.7	45.6	43.5	42.9	42.6	44.4	46.4	48.7	47.4	47.3	48.3	49.8	44.4																																		
Licensed Commercial Banks- Statutory Liquid Asset Ratio (SLAR) – Domestic Banking Unit (DBU)					33.8	27.8	25.0	27.2	25.5	28.7	33.2	30.8	26.2	26.2	29.4	33.0	25.6	24.8	23.9	24.2	26.3	26.1	33.2	30.9	30.2	29.6	28.7																																		
Licensed Commercial Banks- Time Deposits					5846205	5114557	4751133	3985888	3200730	2531020	2180149	2170548	1794658	1333777	1061393	968288	828871	722431	534023	398068	326066	266670	231955	212995	174481	152678	144852																																		
Licensed Commercial Banks- Total Assets					12828819	10944007	10372407	8926192	7843338	6974300	5884361	5022147	4355688	3578497	2974559	2506585	2259914	2098279	1786949	1461540	1155214	987215	862283	799450	745828	600429	544696																																		
Licensed Commercial Banks- Total Assets - Market Share					87.5	87.4	87.9	86.7	87	86	84	84.5	85.4	84.2	83.8	83.2	83.8	83.8	83.4	82.1	78.9	78.0	78.4	78.5	79.0	77.0	77.5																																		
Licensed Commercial Banks- Total Capital Adequacy Ratio (CAR)					16.7	16.6	15.0	16.4	15.6	15.3	17.0	17.5	16.0	15.5	15.2	15.4	13.8	13.6	12.7	12.8	10.3	10.3	10.3	8.6	8.6	11.6	11.1																																		
Licensed Commercial Banks- Total Number of ATMs					5744	5158	4643	4086	0	0	0	0	0	0	0	0	0																																												
Licensed Commercial Banks- Total Number of Banks					24	26	26	25	25	25	25	24	24	24	22	22	22																																												
Licensed Commercial Banks- Total Number of Branches					2916	2907	2876	2855	2974	2915	2884	2792	2719	2601	2365	2201	2064																																												
Licensed Commercial Banks- Total Number of Other Banking Outlets					3787	3783	2870	2870	2870	2870	2871	2864	2856	2791	2787	2788	2684																																												
